id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Basement Cipher,Nova Verse,hip hop,confident,0.83,96,0.68,0.87,0.12
12,Velvet Hours,Blue June,r&b,sensual,0.57,88,0.74,0.72,0.39
13,Dust Road Anthem,Cedar Lane,country,nostalgic,0.52,104,0.66,0.61,0.63
14,Orbit Strings,Aurora Ensemble,classical,dreamy,0.22,64,0.58,0.28,0.97
15,Iron Cathedral,Black Forge,metal,angry,0.96,168,0.31,0.49,0.03
16,Sunset Barrio,Luna Fuego,reggaeton,party,0.89,102,0.86,0.93,0.08
17,Golden Pulse,Afro Tide,afrobeat,uplifting,0.81,114,0.88,0.90,0.16
18,Smoky Lantern,Moss & Tin,blues,melancholic,0.34,76,0.37,0.46,0.74
19,Pine Needle Sky,Hollow Pines,folk,peaceful,0.29,70,0.62,0.43,0.91
21,Go Back,John Summit,house,euphoric,0.90,128,0.70,0.91,0.08